feature,gain_importance,gain_rank,perm_importance_mean,perm_importance_std,perm_rank,rank_gap
V220,0.0005133128,269,5.667918408602812e-05,0.0,206,63
V162,0.0007956762,217,0.0003192673803354973,5.515693178524774e-05,154,63
V338,0.00021682764,301,1.5159627516636576e-07,3.5370165828998467e-07,238,63
p_emaildomain,0.0021271436,67,0.03395269457645385,0.00219615367409109,5,62
V26,0.002074426,68,0.0005998092167129543,0.00020530033374865307,130,62
V290,0.0021991958,64,0.0006428227726300473,9.646282917418016e-05,125,61
V275,0.0013425518,112,0.0001891821296042151,0.00010484879349653043,172,60
V191,0.0010138369,174,0.0007080731743889345,7.140149779621361e-05,114,60
V303,0.0006220727,255,8.559491203798952e-05,2.50901901899958e-05,196,59
V143,0.0007106456,240,0.0001508399936015037,2.98765749955273e-05,181,59
C6,0.0020672886,69,0.016685795307452733,0.0010076220174101201,10,59
addr2,0.0006007387,259,7.00707079556273e-05,4.211644782443977e-05,200,59
M6,0.0017622425,85,0.006330702091027618,0.0006954459238005961,26,59
V97,5.9092177e-05,310,-3.485098778520657e-05,6.0222602074655174e-05,368,58
V278,0.00072612666,235,0.00017165967862080577,9.230902236958432e-05,178,57
V139,0.00087810174,204,0.0003781525705498501,8.972084457287041e-05,149,55
card2,0.0017909564,82,0.006229542330194471,0.00035418107882732267,27,55
V91,0.012439787,12,0.0021364868904574673,0.0003836694708766118,65,53
p_emaildomain_te_txn_count,0.001419029,104,0.0032945800813935166,0.0011929191660016803,51,53
V20,0.0013420396,113,0.00021113598490944961,9.756309046674396e-05,166,53
V257,0.0011630156,147,7.140737672667319e-05,3.324384357713967e-05,199,52
V189,0.0034070078,35,0.0011911512914881573,4.2631487041709655e-05,86,51
D3,0.0018072063,80,0.006027306164124668,0.0007961972790504564,29,51
transaction_amt,0.002286932,60,0.02101990479351932,0.0013712181081719532,9,51
M4,0.0017895678,83,0.005158722991733422,0.00048541748441095073,33,50
card4,0.0013648036,109,0.0024336105262361073,0.00025597251783136013,59,50
V302,0.00016783018,303,-5.92563331948126e-06,7.32003898567221e-06,353,50
V2,0.0011831778,141,0.0010421770671116381,0.0002288815223550569,91,50
V167,0.00011856413,305,-7.883958650589662e-06,0.0,354,49
V138,0.00010430609,307,-9.581150170734353e-06,1.352610805137974e-05,355,48
