feature,gain_importance
V294,0.00038591205
V276,0.0003818143
V248,0.0003764931
V304,0.0003750497
V295,0.00036568826
velocity_30min,0.00036485915
V271,0.0003575311
V262,0.00034826118
V236,0.0003440861
V229,0.00034149014
V288,0.00032737275
V225,0.00032212216
V23,0.00031657756
V204,0.00030621537
V130,0.0003039079
V292,0.00030327844
velocity_5min,0.00029915298
V209,0.0002957932
V74,0.0002930428
V146,0.00028819175
V42,0.00025714433
V335,0.00024723654
V101,0.00024563516
V30,0.00024229028
V334,0.00023760175
V190,0.0002371602
V29,0.00023342871
V228,0.00023315853
V293,0.00022955035
V11,0.00022384766
V198,0.00022030876
V59,0.00020912483
V230,0.00019920552
V10,0.00019710741
V218,0.0001942826
V249,0.00016654695
V226,0.00013920717
V284,0.0001128698
v_block3_missing,8.568059e-05
V327,5.8463636e-05
V206,3.240824e-05
V238,2.4675048e-06
V326,0.0
V337,0.0
card1_te_txn_count,0.0
v_block4_missing,0.0
V330,0.0
V336,0.0
V197,0.0
V195,0.0
V182,0.0
V191,0.0
V192,0.0
V193,0.0
V194,0.0
V172,0.0
V167,0.0
V175,0.0
V174,0.0
V177,0.0
V183,0.0
V179,0.0
V328,0.0
v_block1_missing,0.0
v_block2_missing,0.0
V331,0.0
V333,0.0
V153,0.0
V154,0.0
V138,0.0
V144,0.0
V199,0.0
V125,0.0
V123,0.0
V118,0.0
V119,0.0
V120,0.0
V121,0.0
V122,0.0
V196,0.0
V71,0.0
V240,0.0
V100,0.0
V72,0.0
V241,0.0
V246,0.0
V57,0.0
V114,0.0
V113,0.0
V110,0.0
V108,0.0
V106,0.0
V107,0.0
V104,0.0
V105,0.0
V103,0.0
V216,0.0
V116,0.0
V117,0.0
V88,0.0
V89,0.0
V93,0.0
V98,0.0
V50,0.0
V41,0.0
V252,0.0
V68,0.0
V66,0.0
V65,0.0
V17,0.0
V14,0.0
V28,0.0
V27,0.0
V22,0.0
V269,0.0
V9,0.0
V287,0.0
V31,0.0
V34,0.0
V21,0.0
V18,0.0
V1,0.0
V305,0.0
V299,0.0
M1,0.0
V302,0.0
v_block5_missing,0.0
v_block9_missing,0.0
v_block8_missing,0.0
v_block7_missing,0.0
v_block6_missing,0.0
V324,0.0
V322,0.0
V319,0.0
V325,0.0
